Player,Position,Team,ESPN,Sleeper,Yahoo,Underdog,Underdog LW,NFFC,FFPC,Dynasty ADP,RT,Con. ADP
Lamar Jackson,QB,BAL,36.4,,36.1,46.5,,49.1,38.2,40,36.7,40.4
Trey McBride,TE,ARI,54.4,,53.2,47,0.2,50,24.4,33,46.7,46.4
Terry McLaurin,WR,WAS,91.2,,84.9,48.8,0.4,59.9,74.1,76.5,72,75
Patrick Mahomes,QB,KC,28.1,,29.4,49.1,-0.5,38.8,31.8,23,32.6,35.3
Mark Andrews,TE,BAL,42.3,,49.7,49.1,0.2,56.7,29.8,46,48.6,47.1
Dalton Kincaid,TE,BUF,63.5,,60.7,51.5,-0.9,53.6,28.5,50,50.8,52.9
Hollywood Brown,WR,KC,106.2,,89.3,52.2,0.5,67.7,72.7,93,87.2,82.9
Josh Jacobs,RB,GB,39.4,,25.1,53,0.3,35,44.9,40,27,37.6
Keenan Allen,WR,CHI,81.9,,80.6,53.9,0.2,68.4,80.8,84,68.9,72
Jayden Reed,WR,GB,97.6,,93.3,54.7,-0.2,69.2,82.1,60.5,84,81.1
Calvin Ridley,WR,TEN,73.6,,94.4,56.4,0.1,64.7,80.7,89,81,77.5
Anthony Richardson,QB,IND,50.4,,43.2,57.5,0.1,59.5,47.2,63,50.1,53.4
James Cook,RB,BUF,33.3,,41.2,58.2,0.2,40.2,52.7,47,34,45.6
Chris Godwin,WR,TB,85.8,,96.9,58.9,,65.8,76,84,70.1,79
Kyle Pitts,TE,ATL,73.9,,64.8,59.9,-0.3,69.2,39.4,49.5,68.6,65
Joe Mixon,RB,HOU,29.7,,35.8,61.6,-0.4,44,49.8,70.5,47.6,48.6
