NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Dion Lewis,TEN,RB,16.00,0.00,0.00,0.00,414.00,2.00,41.00,300.00,1.00,8.00,128.40
Jalen Richard,LV,RB,16.00,0.00,0.00,0.00,284.00,2.00,46.00,372.00,1.00,8.00,127.60
Royce Freeman,DEN,RB,16.00,0.00,0.00,0.00,604.00,5.00,20.00,128.00,1.00,8.00,127.20
Darrell Henderson Jr.,LAR,RB,16.00,0.00,0.00,0.00,556.00,3.00,22.00,196.00,1.00,7.50,119.20
Chris Thompson,WAS,RB,16.00,0.00,0.00,0.00,216.00,1.00,50.00,356.00,1.00,7.30,117.20
Jordan Howard,PHI,RB,16.00,0.00,0.00,0.00,625.00,5.00,14.00,111.00,0.00,7.20,115.60
Giovani Bernard,CIN,RB,16.00,0.00,0.00,0.00,265.00,2.00,37.00,287.00,1.00,6.90,110.20
CJ Anderson,DET,RB,16.00,0.00,0.00,0.00,533.00,3.00,19.00,130.00,1.00,6.70,107.30
Jamaal Williams,GB,RB,16.00,0.00,0.00,0.00,425.00,3.00,23.00,182.00,1.00,6.60,105.70
Adrian Peterson,WAS,RB,16.00,0.00,0.00,0.00,531.00,4.00,15.00,137.00,0.00,6.50,103.80
Jaylen Samuels,PIT,RB,16.00,0.00,0.00,0.00,298.00,1.00,33.00,250.00,2.00,6.50,103.80
Ito Smith,ATL,RB,16.00,0.00,0.00,0.00,413.00,3.00,23.00,168.00,1.00,6.40,103.10
Nyheim Hines,IND,RB,16.00,0.00,0.00,0.00,285.00,1.00,36.00,282.00,1.00,6.40,102.70
Justin Jackson,LAC,RB,16.00,0.00,0.00,0.00,393.00,3.00,19.00,161.00,1.00,6.00,96.40
Frank Gore,BUF,RB,16.00,0.00,0.00,0.00,553.00,2.00,16.00,127.00,0.00,5.90,94.00
Tony Pollard,DAL,RB,16.00,0.00,0.00,0.00,347.00,3.00,20.00,164.00,1.00,5.80,93.10
Ronald Jones,TB,RB,16.00,0.00,0.00,0.00,462.00,3.00,16.00,115.00,0.00,5.60,89.70
Ty Montgomery II,NYJ,RB,16.00,0.00,0.00,0.00,280.00,2.00,24.00,186.00,1.00,5.40,86.60
Kareem Hunt,CLE,RB,16.00,0.00,0.00,0.00,337.00,2.00,19.00,173.00,1.00,5.40,86.00
Justice Hill,BAL,RB,16.00,0.00,0.00,0.00,306.00,2.00,19.00,161.00,1.00,5.10,81.70
Alexander Mattison,MIN,RB,16.00,0.00,0.00,0.00,354.00,2.00,17.00,114.00,1.00,5.00,79.80
Ryquell Armstead,JAX,RB,16.00,0.00,0.00,0.00,316.00,2.00,16.00,127.00,1.00,4.80,76.30
Dare Ogunbowale,TB,RB,16.00,0.00,0.00,0.00,233.00,1.00,20.00,155.00,1.00,4.40,70.80
Rex Burkhead,NE,RB,16.00,0.00,0.00,0.00,193.00,2.00,16.00,177.00,1.00,4.30,69.00
Gus Edwards,BAL,RB,16.00,0.00,0.00,0.00,432.00,3.00,4.00,32.00,0.00,4.30,68.40
Chase Edmonds,ARI,RB,16.00,0.00,0.00,0.00,256.00,1.00,17.00,148.00,1.00,4.20,67.40
T.J. Yeldon,BUF,RB,16.00,0.00,0.00,0.00,184.00,1.00,20.00,169.00,1.00,4.10,65.30
Dontrell Hilliard,CLE,RB,16.00,0.00,0.00,0.00,140.00,1.00,21.00,166.00,1.00,4.00,63.60
Carlos Hyde,HOU,RB,16.00,0.00,0.00,0.00,387.00,2.00,9.00,56.00,0.00,4.00,63.30
